Trend,Site
-10.26467840745879,Churchill
-10.548570780472868,Qaqortoq
-4.781210906267358,Cornwallis
-16.700731916341677,Thule
-1.1507199334424598,Ittoqqortoormiit
-0.4898594775969831,Nuuk
