CCAR's Altimetry Explorer
https://ccar.colorado.edu/altimetry/
ALTIMETRY INFORMATION
lat,64.25
lon,-51.75
Source,JPL SSHA Grids v1812

TIDEGAUGE INFORMATION
lat,64.1719970703125
lon,308.2799987792969
code,820
location,Nuuk
Source,UHSLC FD + RQ data


Altimetry,,,Tide Gauge
time,sla (cm),,time,sla (cm)
1992.7522245037646,8.248008860849287,,2014.5181382614649,2.629234972677807
1992.7659137577002,5.664329661630537,,2014.5318275154004,-3.870765027322193
1992.7796030116358,2.442717923425581,,2014.545516769336,-5.170765027322204
1992.7932922655716,1.655216349862959,,2014.5592060232718,0.32923497267779567
1992.8069815195072,2.1435440914858837,,2014.5728952772074,-4.970765027322216
1992.8206707734428,3.14607132842436,,2014.586584531143,-3.1707650273222043
1992.8343600273786,2.325267447732832,,2014.6002737850788,-1.270765027322227
1992.8480492813142,2.813584460519697,,2014.6139630390144,-1.770765027322227
1992.8617385352497,2.877272261880781,,2014.62765229295,3.0292349726777843
1992.8754277891856,1.794048799775984,,2014.6413415468858,-3.6707650273222043
1992.8891170431211,-0.16428799311027323,,2014.6550308008214,-1.270765027322227
1992.9028062970567,-1.357353435255144,,2014.668720054757,15.729234972677773
1992.9164955509925,-0.3393237156640032,,2014.6824093086927,15.029234972677784
1992.930184804928,-2.9565230471859913,,2014.6960985626283,9.129234972677807
1992.9438740588637,-5.209924088216875,,2014.709787816564,9.229234972677773
1992.9575633127995,-5.704505310751054,,2014.7234770704997,25.42923497267776
1992.971252566735,-5.935525284505937,,2014.7371663244353,12.729234972677773
1992.9849418206709,-6.112446652151201,,2014.7508555783709,-5.670765027322204
1992.9986310746065,-4.514474259115312,,2014.7645448323067,-2.4707650273222157
1993.012320328542,-5.174880848623369,,2014.7782340862423,11.329234972677796
1993.0260095824779,-4.489418373800371,,2014.791923340178,13.629234972677807
1993.0396988364134,-6.610747681356523,,2014.8056125941137,10.829234972677796
1993.053388090349,-6.156007157064531,,2014.8193018480492,-7.170765027322204
1993.0670773442848,-5.12953935692415,,2014.832991101985,0.0292349726777843
1993.0807665982204,-4.692839966512773,,2014.8466803559206,-1.870765027322193
1993.094455852156,-3.575846062399004,,2014.8603696098562,8.329234972677796
1993.1081451060918,-3.2004948718319874,,2014.874058863792,15.129234972677807
1993.1218343600274,-3.7265447242032033,,2014.8877481177276,29.629234972677807
1993.135523613963,-3.8821242911587697,,2014.9014373716632,14.829234972677796
1993.1492128678988,-3.495148525930498,,2014.915126625599,11.629234972677807
1993.1629021218343,-4.423146115041826,,2014.9288158795346,17.42923497267776
1993.17659137577,-4.535663948751543,,2014.9425051334701,-12.570765027322238
1993.1902806297057,-4.964964256979082,,2014.956194387406,7.029234972677784
1993.2039698836413,-5.739722119070146,,2014.9698836413415,-11.270765027322227
1993.217659137577,-5.84246717522249,,2014.9835728952771,2.5292349726777843
1993.2313483915127,-9.590082989431474,,2014.997262149213,14.629234972677807
1993.2450376454483,-9.672890530325029,,2015.0109514031485,-9.570765027322238
1993.2587268993839,-8.813409672475908,,2015.024640657084,-18.07076502732224
1993.2724161533197,-8.763027058340166,,2015.03832991102,-9.570765027322238
1993.2861054072553,-8.827002392507646,,2015.0520191649555,2.3292349726777957
1993.299794661191,-8.025381909109209,,2015.065708418891,-0.07076502732223844
1993.3134839151267,-7.29980884621248,,2015.0793976728269,-9.270765027322227
1993.3271731690622,-7.394240246511552,,2015.0930869267625,11.129234972677807
1993.340862422998,-7.908233032919023,,2015.1067761806983,-6.770765027322227
1993.3545516769336,-7.64565788338289,,2015.1204654346338,-10.970765027322216
1993.3682409308692,-6.980235443807695,,2015.1341546885694,-8.570765027322238
1993.381930184805,-5.6565788848172165,,2015.1478439425052,-5.670765027322204
1993.3956194387406,-7.064610348440263,,2015.1615331964408,-1.0707650273222384
1993.4093086926762,-5.245778904653642,,2015.1752224503764,-0.17076502732220433
1993.422997946612,-6.403645382619951,,2015.1889117043122,-2.9707650273222157
1993.4366872005476,-5.009354458547685,,2015.2026009582478,-10.570765027322238
1993.4503764544831,-3.8743957144986134,,2015.2162902121834,-6.670765027322204
1993.464065708419,-3.824732886053179,,2015.2299794661192,4.429234972677762
1993.4777549623545,-4.23804651329622,,2015.2436687200548,-8.670765027322204
1993.4914442162901,-3.97689853737459,,2015.2573579739903,4.229234972677773
1993.505133470226,-4.491169319845293,,2015.2710472279261,-8.670765027322204
1993.5188227241615,-3.9331334693203908,,2015.2847364818617,1.9292349726777616
1993.532511978097,-3.576310263372515,,2015.2984257357973,-21.470765027322216
1993.546201232033,-3.0939110381375294,,2015.3121149897331,-28.470765027322216
1993.5598904859685,-2.6104851825009328,,2015.3258042436687,-22.170765027322204
1993.5735797399043,-3.5441886050473195,,2015.3394934976043,-12.870765027322193
1993.5872689938399,-3.75015817711458,,2015.35318275154,-4.070765027322238
1993.6009582477755,-1.4536722762356737,,2015.3668720054757,-6.570765027322238
1993.6146475017113,-0.8855850560437182,,2015.3805612594113,-6.870765027322193
1993.6283367556468,-0.33504681418046744,,2015.394250513347,-7.870765027322193
1993.6420260095824,-0.32722287008867057,,2015.4079397672826,-8.370765027322193
1993.6557152635182,1.7169217007388136,,2015.4216290212185,-14.270765027322227
1993.6694045174538,2.958683623575117,,2015.435318275154,-14.870765027322193
1993.6830937713894,3.861684455179121,,2015.4490075290896,-11.870765027322193
1993.6967830253252,4.675566329263594,,2015.4626967830254,-2.0707650273222384
1993.7104722792608,3.7690836327303905,,2015.476386036961,-12.070765027322238
1993.7241615331964,5.611472739480879,,2015.4900752908966,-7.970765027322216
1993.7378507871322,3.5696915524233837,,2015.5037645448324,-5.470765027322216
1993.7515400410678,4.678492202066328,,2015.517453798768,-4.970765027322216
1993.7652292950033,4.113390101694014,,2015.5311430527036,-5.170765027322204
1993.7789185489391,4.588872088693526,,2015.5448323066394,-7.470765027322216
1993.7926078028747,2.181368006967451,,2015.558521560575,-9.870765027322193
1993.8062970568103,1.130338682435896,,2015.5859000684463,-17.670765027322204
1993.8199863107461,1.849990143083479,,2015.599589322382,-1.6707650273222043
1993.8336755646817,1.0422358649004957,,2015.6132785763175,-4.770765027322227
1993.8473648186173,1.8995334046114942,,2015.6269678302533,-0.5707650273222384
1993.861054072553,2.259101285241987,,2015.6543463381245,-1.6707650273222043
1993.8747433264887,-0.23993085453614985,,2015.6680355920603,-1.4707650273222157
1993.8884325804245,-3.516498194433306,,2015.6817248459959,10.829234972677796
1993.90212183436,-5.504444943166826,,2015.6954140999314,-9.470765027322216
1993.9158110882956,-5.862572060323808,,2015.7091033538672,-4.770765027322227
1993.9295003422314,-4.5932034117947556,,2015.7227926078028,3.129234972677807
1993.943189596167,-3.454049931264971,,2015.7364818617386,1.0292349726777843
1993.9568788501026,-2.073374376989458,,2015.7638603696098,-14.570765027322238
1993.9705681040384,-5.758252964712236,,2015.7775496235456,-0.9707650273222157
1993.984257357974,-6.677013264394853,,2015.7912388774812,14.929234972677762
1993.9979466119096,-6.4025553328762985,,2015.8049281314168,-1.6707650273222043
1994.0116358658454,-4.288160191274736,,2015.8459958932237,6.629234972677807
1994.025325119781,-2.310467348791216,,2015.8596851471596,5.129234972677807
1994.0390143737166,-2.1937318904171925,,2015.8733744010951,-13.270765027322227
1994.0527036276524,-2.82310591766939,,2015.8870636550307,-3.370765027322193
1994.066392881588,-2.9590424163113576,,2015.9007529089665,-2.370765027322193
1994.0800821355235,-5.260042057729814,,2015.914442162902,11.229234972677773
1994.0937713894593,-4.886634217001054,,2015.9281314168377,4.429234972677762
1994.107460643395,-7.637515412069414,,2015.9418206707735,-9.670765027322204
1994.1211498973305,-9.20106206963167,,2015.955509924709,-10.570765027322238
1994.1348391512663,-9.472226963735674,,2015.9691991786447,-6.770765027322227
1994.148528405202,-10.433520184255693,,2015.9828884325805,16.029234972677784
1994.1622176591375,-10.813505993581865,,2015.996577686516,-4.570765027322238
1994.1759069130733,-10.475602970815752,,2016.0102669404519,-12.270765027322227
1994.1895961670089,-10.613028393484209,,2016.0239561943874,-0.6707650273222043
1994.2032854209447,-11.468558178640459,,2016.037645448323,-2.4707650273222157
1994.2169746748802,-10.207734928823564,,2016.119780971937,10.929234972677762
1994.2306639288158,-9.389175282217119,,2016.1334702258728,-9.070765027322238
1994.2443531827516,-9.71201120445833,,2016.1471594798084,-8.870765027322193
1994.2580424366872,-8.98945032188997,,2016.160848733744,-0.870765027322193
1994.2717316906228,-9.663880215383623,,2016.1745379876797,-8.770765027322227
1994.2854209445586,-10.236160145498369,,2016.1882272416153,-26.870765027322193
1994.2991101984942,-10.05667387077913,,2016.201916495551,-18.770765027322227
1994.3127994524298,-8.353728161550615,,2016.2156057494867,-17.970765027322216
1994.3264887063656,-8.244673596120927,,2016.2292950034223,-20.770765027322227
1994.3401779603012,-9.586197720266435,,2016.2429842573579,-16.170765027322204
1994.3538672142367,-9.521571980215166,,2016.2566735112937,-15.470765027322216
1994.3675564681726,-8.839752064443681,,2016.2703627652293,-6.070765027322238
1994.3812457221081,-5.635927067495439,,2016.2840520191648,-9.270765027322227
1994.3949349760437,-6.7604864699612595,,2016.2977412731007,-13.670765027322204
1994.4086242299795,-6.518742905355547,,2016.3114305270362,-4.270765027322227
1994.422313483915,-8.097185955740068,,2016.325119780972,-9.870765027322193
1994.4360027378507,-7.455360279775713,,2016.3388090349076,-17.370765027322193
1994.4496919917865,-6.839690075613115,,2016.3524982888432,-4.670765027322204
1994.463381245722,-7.088910446859453,,2016.366187542779,-13.770765027322227
1994.4770704996577,-8.158884869314287,,2016.3798767967146,-6.770765027322227
1994.4907597535935,-9.293844090200517,,2016.3935660506502,-2.5707650273222384
1994.504449007529,-8.908951626516435,,2016.407255304586,-17.170765027322204
1994.5181382614649,-6.523177967763994,,2016.4209445585216,-13.770765027322227
1994.5318275154004,-5.261301384664629,,2016.4346338124572,-14.170765027322204
1994.545516769336,-4.418277607656572,,2016.448323066393,-10.570765027322238
1994.5592060232718,-3.841389284826372,,2016.4620123203285,-14.270765027322227
1994.5728952772074,-2.9823087317715626,,2016.4757015742641,-6.970765027322216
1994.586584531143,-2.85269199440584,,2016.4893908282,-13.670765027322204
1994.6002737850788,-2.8322883708249074,,2016.516769336071,-11.670765027322204
1994.6139630390144,-2.2119904620419484,,2016.530458590007,-7.870765027322193
1994.62765229295,-0.6552138192425707,,2016.5441478439425,0.12923497267780704
1994.6413415468858,-0.35184307525262626,,2016.557837097878,-6.470765027322216
1994.6550308008214,0.3574823575247785,,2016.5715263518139,-11.270765027322227
1994.668720054757,1.5019322769869825,,2016.5852156057495,-7.070765027322238
1994.6824093086927,1.4950562851656934,,2016.598904859685,-6.570765027322238
