CCAR's Altimetry Explorer
https://ccar.colorado.edu/altimetry/
ALTIMETRY INFORMATION
lat,60.75
lon,-46.083333
Source,JPL SSHA Grids v1812

TIDEGAUGE INFORMATION
lat,60.71699905395508
lon,313.9670104980469
code,299
location,Qaqortoq
Source,UHSLC FD + RQ data


Altimetry,,,Tide Gauge
time,sla (cm),,time,sla (cm)
1992.7522245037646,-1.5924729193543326,,2008.4264202600957,-3.3084942084940394
1992.7659137577002,-0.8824175680970083,,2008.4401095140315,-10.908494208494062
1992.7796030116358,-1.2265465344284903,,2008.453798767967,-13.908494208494062
1992.7932922655716,-3.155578860173119,,2008.467488021903,-7.408494208494062
1992.8069815195072,-5.5026948536728755,,2008.4811772758385,-5.20849420849413
1992.8206707734428,-6.743154295811547,,2008.494866529774,-6.70849420849413
1992.8343600273786,-6.38281799210061,,2008.5085557837099,4.491505791505915
1992.8480492813142,-5.714593657383813,,2008.535934291581,4.591505791505938
1992.8617385352497,-5.661382922062768,,2008.5496235455169,3.491505791505915
1992.8754277891856,-6.868656882176293,,2008.5633127994524,3.1915057915059606
1992.8891170431211,-8.078391322026146,,2008.577002053388,-1.8084942084940394
1992.9028062970567,-8.606616267094505,,2008.5906913073238,-8.30849420849404
1992.9164955509925,-8.050342806706322,,2008.6043805612594,2.491505791505915
1992.930184804928,-6.822624930271997,,2008.618069815195,6.691505791505961
1992.9438740588637,-4.6224553669785395,,2008.6317590691308,3.7915057915058696
1992.9575633127995,-3.5026869858597647,,2008.6454483230664,8.29150579150587
1992.971252566735,-4.0204374874924556,,2008.659137577002,-0.008494208494084887
1992.9849418206709,-6.198842772374047,,2008.6728268309378,4.591505791505938
1992.9986310746065,-6.762413748631372,,2008.6865160848733,13.991505791505915
1993.012320328542,-7.879773863682641,,2008.700205338809,18.19150579150596
1993.0260095824779,-9.33836294067849,,2008.7138945927447,11.19150579150596
1993.0396988364134,-10.845457323918236,,2008.7275838466803,9.19150579150596
1993.053388090349,-9.172946223149193,,2008.7412731006161,-1.7084942084941304
1993.0670773442848,-6.243667849430932,,2008.7549623545517,15.79150579150587
1993.0807665982204,-5.827585944065942,,2008.7686516084873,36.69150579150596
1993.094455852156,-9.328315028080834,,2008.782340862423,22.391505791505892
1993.1081451060918,-12.126309641728295,,2008.7960301163587,19.69150579150596
1993.1218343600274,-10.486829050907982,,2008.8097193702943,13.991505791505915
1993.135523613963,-7.5510323132370845,,2008.82340862423,1.1915057915059606
1993.1492128678988,-5.947429427037133,,2008.8370978781657,18.491505791505915
1993.1629021218343,-7.1432964886521235,,2008.8507871321012,22.891505791505892
1993.17659137577,-9.425248392948998,,2008.864476386037,20.69150579150596
1993.1902806297057,-9.82140565765847,,2008.8781656399726,6.391505791505892
1993.2039698836413,-12.117074259648216,,2008.8918548939082,12.491505791505915
1993.217659137577,-10.34485937012185,,2008.905544147844,-3.008494208494085
1993.2313483915127,-10.884620913395775,,2008.9192334017796,25.091505791505938
1993.2450376454483,-10.599655398259056,,2008.9329226557152,26.891505791505892
1993.2587268993839,-9.874500521550072,,2008.946611909651,14.29150579150587
1993.2724161533197,-9.097154864201439,,2008.9603011635866,10.29150579150587
1993.2861054072553,-8.460115679631127,,2008.9739904175221,24.591505791505938
1993.299794661191,-7.300799616703881,,2008.987679671458,7.691505791505961
1993.3134839151267,-6.426676520237817,,2009.0013689253935,20.69150579150596
1993.3271731690622,-7.566203364262475,,2009.0150581793291,26.991505791505915
1993.340862422998,-9.600990542302025,,2009.028747433265,20.991505791505915
1993.3545516769336,-10.660282381901634,,2009.0424366872005,28.391505791505892
1993.3682409308692,-9.947106608281029,,2009.0561259411363,28.491505791505915
1993.381930184805,-9.08295465363015,,2009.069815195072,45.19150579150596
1993.3956194387406,-8.864287623295677,,2009.0835044490075,6.691505791505961
1993.4093086926762,-8.844199427494896,,2009.0971937029433,26.591505791505938
1993.422997946612,-8.405568369755638,,2009.1108829568789,18.29150579150587
1993.4366872005476,-7.600818880925073,,2009.1245722108144,11.091505791505938
1993.4503764544831,-7.434302100071801,,2009.1382614647503,-5.508494208494085
1993.464065708419,-8.259528406987084,,2009.1930184804928,6.991505791505915
1993.4777549623545,-9.467727908024681,,2009.2067077344284,9.69150579150596
1993.4914442162901,-10.085227259526146,,2009.2203969883642,-11.408494208494062
1993.505133470226,-9.758707293400658,,2009.2340862422998,-21.408494208494062
1993.5188227241615,-8.4070541943406,,2009.2614647501712,-2.3084942084940394
1993.532511978097,-6.090058096775903,,2009.2751540041068,-5.908494208494062
1993.546201232033,-3.867360838780297,,2009.2888432580423,3.2915057915058696
1993.5598904859685,-2.7708897675370108,,2009.3025325119781,0.4915057915059151
1993.5735797399043,-2.379253634343041,,2009.3162217659137,1.2915057915058696
1993.5872689938399,-2.9182043160294424,,2009.3299110198495,-2.408494208494062
1993.6009582477755,-3.837630041966332,,2009.3436002737851,-12.008494208494085
1993.6146475017113,-5.033979185948266,,2009.3572895277207,1.4915057915059151
1993.6283367556468,-5.220603712925805,,2009.3709787816565,-14.80849420849404
1993.6420260095824,-4.116019019017114,,2009.384668035592,3.2915057915058696
1993.6557152635182,-2.743128785023583,,2009.3983572895277,6.391505791505892
1993.6694045174538,-2.0889227475022207,,2009.4120465434635,-17.408494208494062
1993.6830937713894,-2.5571789826249014,,2009.425735797399,-7.108494208494108
1993.6967830253252,-2.864651688465966,,2009.4394250513346,-14.608494208494108
1993.7104722792608,-1.8743209923600088,,2009.4531143052704,-3.8084942084940394
1993.7241615331964,0.1418798779154886,,2009.466803559206,-1.5084942084940849
