  1973.7083;   196; 1;000
  1973.7917;   160; 0;000
  1973.8750;   205; 0;000
  1973.9583;   180; 0;000
  1974.0417;   229; 0;000
  1974.1250;    99; 0;000
  1974.2083;    61; 0;000
  1974.2917;   -60; 0;000
  1974.3750;   -79; 0;000
  1974.4583;   -33; 0;000
  1974.5417;    40; 0;000
  1974.6250;    58; 0;000
  1974.7083;   180; 0;000
  1974.7917;   183; 0;000
  1974.8750;   147; 0;000
  1974.9583;    56; 0;000
  1975.0417;    87; 1;000
  1975.1250;    87; 3;000
  1975.2083;   -32; 1;000
  1975.2917;  -127; 1;000
  1975.3750;   -87; 0;000
  1975.4583;   -15; 0;000
  1975.5417;    91; 0;000
  1975.6250;    73; 0;000
  1975.7083;   108; 0;000
  1975.7917;   196; 0;000
  1975.8750;   152; 0;000
  1975.9583;   142; 0;000
  1976.0417;   166; 0;000
  1976.1250;   157; 0;000
  1976.2083;    68; 1;000
  1976.2917;   -33; 1;000
  1976.3750;   -53; 1;000
  1976.4583;    59; 0;000
  1976.5417;    17; 1;000
  1976.6250;   127; 0;000
  1976.7083;   147; 0;000
  1976.7917;   142; 0;000
  1976.8750;   210; 0;000
  1976.9583;   190; 0;000
  1977.0417;   172; 0;000
  1977.1250;   136; 0;000
  1977.2083;    34; 0;000
  1977.2917;    34; 0;000
  1977.3750;    44; 8;000
  1977.4583;    12; 0;000
  1977.5417;   117; 1;000
  1977.6250;   121; 0;000
  1977.7083;   142; 0;000
  1977.7917;   196; 0;000
  1977.8750;   236; 0;000
  1977.9583;   157; 0;000
  1978.0417;   171; 0;000
  1978.1250;    66; 0;000
  1978.2083;    92; 0;000
  1978.2917;   -52; 0;000
  1978.3750;-99999;00;000
  1978.4583;    15; 5;000
  1978.5417;    78; 0;000
  1978.6250;   187; 0;000
  1978.7083;   248; 0;000
  1978.7917;   191; 0;000
  1978.8750;   318; 0;000
  1978.9583;   290; 0;000
  1979.0417;   149; 0;000
  1979.1250;   139; 0;000
  1979.2083;   -45; 0;000
  1979.2917;   -95; 0;000
  1979.3750;   -67; 0;000
  1979.4583;    50; 0;000
  1979.5417;    59; 0;000
  1979.6250;    94; 0;000
  1979.7083;-99999;00;000
  1979.7917;   159; 7;000
  1979.8750;    76; 6;000
  1979.9583;-99999;00;000
  1980.0417;    44; 8;000
  1980.1250;-99999;00;000
  1980.2083;-99999;00;000
  1980.2917;   -70; 1;000
  1980.3750;   -49; 1;000
  1980.4583;   -29; 0;000
  1980.5417;-99999;00;000
  1980.6250;-99999;00;000
  1980.7083;-99999;00;000
  1980.7917;-99999;00;000
  1980.8750;-99999;00;000
  1980.9583;   224; 1;000
  1981.0417;-99999;00;000
  1981.1250;-99999;00;000
  1981.2083;-99999;00;000
  1981.2917;-99999;00;000
  1981.3750;-99999;00;000
  1981.4583;-99999;00;000
  1981.5417;-99999;00;000
  1981.6250;-99999;00;000
  1981.7083;-99999;00;000
  1981.7917;-99999;00;000
  1981.8750;   223; 0;000
  1981.9583;   234; 0;000
  1982.0417;   274; 1;000
  1982.1250;   129; 1;000
  1982.2083;    19; 0;000
  1982.2917;    17; 2;000
  1982.3750;   -65; 1;000
  1982.4583;    -6; 0;000
  1982.5417;   130; 0;000
  1982.6250;   159; 1;000
  1982.7083;   201; 3;000
  1982.7917;   222; 5;000
  1982.8750;   225; 2;000
  1982.9583;   197; 6;000
  1983.0417;-99999;00;000
  1983.1250;   -34; 0;000
  1983.2083;   -89; 1;000
  1983.2917;  -134; 5;000
  1983.3750;   -17; 0;000
  1983.4583;    40; 0;000
  1983.5417;   128; 0;000
  1983.6250;   188; 0;000
  1983.7083;   171;10;000
  1983.7917;-99999;00;000
  1983.8750;   236; 0;000
  1983.9583;   265; 0;000
  1984.0417;-99999;00;000
  1984.1250;-99999;00;000
  1984.2083;-99999;00;000
  1984.2917;  -114; 9;000
  1984.3750;   -37; 0;000
  1984.4583;    -9; 5;000
  1984.5417;    76; 4;000
  1984.6250;   237; 6;000
  1984.7083;   170; 1;000
  1984.7917;-99999;00;000
  1984.8750;-99999;00;000
  1984.9583;   188; 4;000
  1985.0417;   205; 2;000
  1985.1250;    31; 7;000
  1985.2083;     7; 7;000
  1985.2917;    20; 3;000
  1985.3750;    19; 0;000
  1985.4583;   108; 3;000
  1985.5417;   156; 8;000
  1985.6250;   182; 1;000
  1985.7083;-99999;00;000
  1985.7917;-99999;00;000
  1985.8750;-99999;00;000
  1985.9583;   485; 0;000
  1986.0417;   383; 8;000
  1986.1250;-99999;00;000
  1986.2083;-99999;00;000
  1986.2917;   -34;10;000
  1986.3750;    64; 0;000
  1986.4583;   138; 0;000
  1986.5417;   106; 1;000
  1986.6250;-99999;00;000
  1986.7083;   195; 9;000
  1986.7917;   255; 1;000
  1986.8750;   175; 0;000
  1986.9583;   183; 1;000
  1987.0417;   120; 0;000
  1987.1250;    56; 0;000
